"Karakteristik","Subgroup","Xbar","R","Xbarbar","Rbar","UCL_x","LCL_x","UCL_r","LCL_r","OutOfControl","Periode"
"Diameter",1,24.9892,0.143000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",2,25.0626,0.280000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",3,25.0184,0.116,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",4,25.038,0.222999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",5,24.9576,0.164999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",6,25.0096,0.168000000000003,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",7,25.0442,0.107999999999997,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",8,25.0164,0.107999999999997,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",9,24.9582,0.163999999999998,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",10,25.0018,0.200999999999997,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",11,24.9858,0.193999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",12,25.0328,0.260999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",13,24.9408,0.329999999999998,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",14,24.9936,0.233000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",15,25.0058,0.164999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",16,25.0368,0.221,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",17,24.9524,0.0960000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",18,25.1206,0.121000000000002,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Bergeser"
"Diameter",19,25.1374,0.097999999999999,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,TRUE,"Bergeser"
"Diameter",20,25.1046,0.153000000000002,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Bergeser"
"Diameter",21,25.1422,0.139000000000003,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,TRUE,"Bergeser"
"Diameter",22,24.9956,0.137,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",23,24.9932,0.262,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",24,25.046,0.140000000000001,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
"Diameter",25,24.9464,0.134999999999998,25.0212,0.17444,25.12185188,24.92054812,0.368766159999999,0,FALSE,"Normal"
